# container_name   ASN         subnet
ksa_jed            65001       203.0.113.12/30
ksa_dmm            65001       203.0.113.16/30
ksa_ruh            65001       203.0.113.20/30
uae_auh            65002       203.0.113.76/30
uae_shj            65002       203.0.113.80/30
uae_fjr            65002       203.0.113.84/30
pak_lhr            65003       203.0.113.140/30
pak_khi            65003       203.0.113.144/30
pak_isb            65003       203.0.113.148/30
usa_ny             65004       203.0.113.204/30
usa_dc             65004       203.0.113.208/30
usa_ca             65004       203.0.113.212/30
